Period,Subsidiary,Transaction Number,Document Number,Reversal Of No.,Type,Name,Number,Display Name,Amount (Debit),Amount (Credit),Amount,Memo (Main),Memo,Amount (Debit) (Foreign Currency),Amount (Credit) (Foreign Currency),Currency,Exchange Rate,Department,Created By,Auto Approved JE
Feb 2025,"SentinelOne, Inc.",JOURNAL95094,JE95094,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"720,470.05 ",0.00 ,"720,470.05 ",MGM Resorts International pertaining to SKO FY'26 cost center reclass from 43500 Enterprise Sales - AMER to 40100 Sales Management,MGM Resorts International pertaining to SKO FY'26 cost center reclass from 43500 Enterprise Sales - AMER to 40100 Sales Management,"720,470.05 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL95094,JE95094,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"720,470.05 ","(720,470.05)",MGM Resorts International pertaining to SKO FY'26 cost center reclass from 43500 Enterprise Sales - AMER to 40100 Sales Management,MGM Resorts International pertaining to SKO FY'26 cost center reclass from 43500 Enterprise Sales - AMER to 40100 Sales Management,0.00 ,"720,470.05 ",USD,1,43500 Enterprise Sales - AMER,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL95743,JE95743,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"284,188.02 ",0.00 ,"284,188.02 ",,Amortization Destination,"284,188.02 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL95745,JE95745,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"284,188.02 ",0.00 ,"284,188.02 ",,Amortization Destination,"284,188.02 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL95750,JE95750,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"142,094.01 ",0.00 ,"142,094.01 ",,Amortization Destination,"142,094.01 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL95751,JE95751,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"10,000.00 ",0.00 ,"10,000.00 ",,Amortization Destination,"10,000.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL97090,JE97090,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,418,654.95 ",0.00 ,"1,418,654.95 ",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 11118-1,"1,418,654.95 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL97090,JE97090,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,300,000.00 ",0.00 ,"1,300,000.00 ",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 15083-1,"1,300,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL95750,JE95750,,Journal,"Roof Deck Entertainment, llc",68100,68100 Sales Related Expenses : Sales Conference & Services,"94,234.88 ",0.00 ,"94,234.88 ",,Amortization Destination,"94,234.88 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL95745,JE95745,,Journal,The Kimberly Group Inc,68100,68100 Sales Related Expenses : Sales Conference & Services,"50,100.00 ",0.00 ,"50,100.00 ",,Amortization Destination,"50,100.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL95745,JE95745,,Journal,The Kimberly Group Inc,68100,68100 Sales Related Expenses : Sales Conference & Services,"40,000.00 ",0.00 ,"40,000.00 ",,Amortization Destination,"40,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
Feb 2025,"SentinelOne, Inc.",JOURNAL96015,JE96015,,Journal,"Westamerica Communications, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"1,218.00 ",0.00 ,"1,218.00 ",AP Accrual - February 2025 Post Close Invoice Accruals,AP Accrual - February 2025 Post Close Invoice Accruals 368336,"1,218.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",JOURNAL97090,JE97090,,Journal,"Westamerica Communications, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"9,000.00 ",0.00 ,"9,000.00 ",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 15052-1,"9,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Feb 2025,"SentinelOne, Inc.",VENDBILL52165,40165518,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"4,868.70 ",0.00 ,"4,868.70 ",Coupa Invoice ID: 32378 - Jack Nadel International,SKO FY26 - Lanyards,"4,868.70 ",0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",VENDBILL52171,JSP022725B,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"50,000.00 ",0.00 ,"50,000.00 ",Coupa Invoice ID: 32333 - Jay S. Siegan,SKO FY26 Guest Speaker - 50% balance due ten (10) business days prior to date of Event,"50,000.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7138,143691412,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,037.80 ",0.00 ,"1,037.80 ",ETSY.COM - DYEANDPINE,ETSY.COM - DYEANDPINE,"1,037.80 ",0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",VENDBILL52277,4110286499,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,781.69 ",0.00 ,"1,781.69 ",Coupa Invoice ID: 32562 - Cvent Inc.,SKO FY26 - Badges,"1,781.69 ",0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7211,144430524,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,436.53 ,0.00 ,436.53 ,SP AVIATOR NATION,SP AVIATOR NATION,436.53 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",VENDBILL52458,2888,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"4,250.00 ",0.00 ,"4,250.00 ",Coupa Invoice ID: 32797 - Advantage Event Solutions LLC,SKO FY26 - President's Club Reveal Video Editing,"4,250.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7273,144978320,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,741.22 ,0.00 ,741.22 ,TPC SCOTTSDALE MERCH,TPC SCOTTSDALE MERCH,741.22 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,SentinelOne B.V. (USD),CARDCHRG7296,145334680,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,646.37 ",0.00 ,"2,646.37 ",WP*benandjackstudio.co,WP*benandjackstudio.co,"2,529.43 ",0.00 ,EUR,1.04623,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7314,145453916,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,129.26 ,0.00 ,129.26 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,129.26 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7315,145453917,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,95.28 ,0.00 ,95.28 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,95.28 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",VENDBILL52708,55161179,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,143.39 ",0.00 ,"2,143.39 ",Coupa Invoice ID: 33108 - Jack Nadel International,SKO FY26 - President's Club Medals,"2,143.39 ",0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",VENDBILL52720,MARQUEE LV Final Invoice,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"117,484.20 ",0.00 ,"117,484.20 ","Coupa Invoice ID: 33137 - Roof Deck Entertainment, llc",SKO FY26 Award Celebration Venue - Estimated Final Payment for Event on 2/27/25,"117,484.20 ",0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7336,145684157,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,363.48 ,0.00 ,363.48 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,363.48 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7342,145684170,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,18.41 ,0.00 ,18.41 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,18.41 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7344,145684172,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,149.52 ,0.00 ,149.52 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,149.52 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7346,145684158,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,355.25 ,0.00 ,355.25 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,355.25 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7348,145684159,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,53.64 ,0.00 ,53.64 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,53.64 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7349,145684160,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,24.48 ,0.00 ,24.48 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,24.48 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7373,145840568,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,348.88 ,0.00 ,348.88 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,348.88 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7377,145861721,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,39.15 ,0.00 ,39.15 ,Amazon.com,Amazon.com,39.15 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7378,145861722,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,83.98 ,0.00 ,83.98 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,83.98 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7383,145861727,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,54.18 ,0.00 ,54.18 ,Amazon.com,Amazon.com,54.18 ,0.00 ,USD,1,40100 Sales Management,-System-,
Feb 2025,"SentinelOne, Inc.",CARDCHRG7384,145861728,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,096.69 ",0.00 ,"1,096.69 ",Amazon.com,Amazon.com,"1,096.69 ",0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",JOURNAL96309,JE96309,JE96308,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"2,906.63 ","(2,906.63)",Brex Feb CC Accrual,Brex Feb CC Accrual,0.00 ,"2,906.63 ",USD,1,49000 Enablement,Esther Park,No
Mar 2025,"SentinelOne, Inc.",JOURNAL103536,JE103536,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,728.50 ,0.00 ,728.50 ,Brex Mar CC Accrual,Brex Mar CC Accrual,728.50 ,0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
Mar 2025,"SentinelOne, Inc.",JOURNAL104728,JE104728,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"38,000.00 ",0.00 ,"38,000.00 ",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 13816-2,"38,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL97990,JE97990,,Journal,Cvent Inc.,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,447.69 ",0.00 ,"1,447.69 ",,Amortization Destination,"1,447.69 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Mar 2025,"SentinelOne, Inc.",JOURNAL97091,JE97091,JE97090,Journal,Erin Daughenbaugh Productions,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"197,839.25 ","(197,839.25)",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 14026-1,0.00 ,"197,839.25 ",USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL104730,JE104730,,Journal,Erin Daughenbaugh Productions,68100,68100 Sales Related Expenses : Sales Conference & Services,"9,934.96 ",0.00 ,"9,934.96 ",AP Accrual - March 2025 Pending REQ approval,AP Accrual - March 2025 Pending REQ approval 20605-1,"9,934.96 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL97091,JE97091,JE97090,Journal,"H2 Video, LLC",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"10,049.00 ","(10,049.00)",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 13886-1,0.00 ,"10,049.00 ",USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL97091,JE97091,JE97090,Journal,Jack Nadel International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"19,241.39 ","(19,241.39)",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 14758-1,0.00 ,"19,241.39 ",USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL104728,JE104728,,Journal,Jack Nadel International,68100,68100 Sales Related Expenses : Sales Conference & Services,"11,823.35 ",0.00 ,"11,823.35 ",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 14456-1,"11,823.35 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL97091,JE97091,JE97090,Journal,Jay S. Siegan,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"4,198.94 ","(4,198.94)",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 13777-1,0.00 ,"4,198.94 ",USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL97091,JE97091,JE97090,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,418,654.95 ","(1,418,654.95)",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 11118-1,0.00 ,"1,418,654.95 ",USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL97091,JE97091,JE97090,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,300,000.00 ","(1,300,000.00)",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 15083-1,0.00 ,"1,300,000.00 ",USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL104728,JE104728,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,418,654.95 ",0.00 ,"1,418,654.95 ",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 11118-1,"1,418,654.95 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL104728,JE104728,,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,300,000.00 ",0.00 ,"1,300,000.00 ",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 15083-1,"1,300,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL96016,JE96016,JE96015,Journal,"Westamerica Communications, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,218.00 ","(1,218.00)",AP Accrual - February 2025 Post Close Invoice Accruals,AP Accrual - February 2025 Post Close Invoice Accruals 368336,0.00 ,"1,218.00 ",USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL97091,JE97091,JE97090,Journal,"Westamerica Communications, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"9,000.00 ","(9,000.00)",AP Accrual - February 2025 Open PO accruals,AP Accrual - February 2025 Open PO accruals 15052-1,0.00 ,"9,000.00 ",USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",CARDCHRG7419,146275616,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,906.63 ",0.00 ,"2,906.63 ",COSMOPOL-ROOM SERVICE,COSMOPOL-ROOM SERVICE,"2,906.63 ",0.00 ,USD,1,49000 Enablement,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL52895,368336,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,218.00 ",0.00 ,"1,218.00 ","Coupa Invoice ID: 33370 - Westamerica Communications, Inc.",SKO FY26 Signage & Giant Letters,"1,218.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7479,146577475,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,101.70 ,0.00 ,101.70 ,FLORISTS.COM,FLORISTS.COM,101.70 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL52930,368335,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,134.00 ",0.00 ,"2,134.00 ","Coupa Invoice ID: 33420 - Westamerica Communications, Inc.",SKO FY26 Signage & Giant Letters,"2,134.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL52930,368335,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,63.03 ,0.00 ,63.03 ,"Coupa Invoice ID: 33420 - Westamerica Communications, Inc.",Shipping Charges for Invoice line: SKO FY26 Signage & Giant Letters,63.03 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL52997,1037,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"10,205.38 ",0.00 ,"10,205.38 ","Coupa Invoice ID: 33491 - H2 Video, LLC",SKO FY26 Sizzle Video,"10,205.38 ",0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL53024,JSP022725C,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"4,198.94 ",0.00 ,"4,198.94 ",Coupa Invoice ID: 33526 - Jay S. Siegan,SKO FY26 Guest Speaker - 50% balance due ten (10) business days prior to date of Event,"4,198.94 ",0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7538,146891960,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,317.24 ,0.00 ,317.24 ,Flywire,Flywire,317.24 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7540,146891969,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,555.69 ,0.00 ,555.69 ,SPEAKERS SPOTLIGHT/512,SPEAKERS SPOTLIGHT/512,555.69 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL53052,368322,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,382.00 ,0.00 ,382.00 ,"Coupa Invoice ID: 33596 - Westamerica Communications, Inc.",SKO FY26 Signage & Giant Letters,382.00 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL53053,368431,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"5,061.00 ",0.00 ,"5,061.00 ","Coupa Invoice ID: 33597 - Westamerica Communications, Inc.",SKO FY26 Signage & Giant Letters,"5,061.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL53057,368323,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,168.00 ,0.00 ,168.00 ,"Coupa Invoice ID: 33602 - Westamerica Communications, Inc.",SKO FY26 Signage & Giant Letters,168.00 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",VENDBILL53233,40166897,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"19,241.39 ",0.00 ,"19,241.39 ",Coupa Invoice ID: 33769 - Jack Nadel International,SKO FY26 Swag,"19,241.39 ",0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7704,148431873,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,775.80 ,0.00 ,775.80 ,ETSY.COM - DYEANDPINE,ETSY.COM - DYEANDPINE,775.80 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7711,148431881,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,17.28 ,0.00 ,17.28 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,17.28 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7715,148491315,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,88.21 ,0.00 ,88.21 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,88.21 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7721,148491323,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,245.00 ",0.00 ,"2,245.00 ",RSA Conference LLC,RSA Conference LLC,"2,245.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7723,148491325,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,44.29 ,0.00 ,44.29 ,PC/NAMETAG,PC/NAMETAG,44.29 ,0.00 ,USD,1,40100 Sales Management,-System-,
